Term , canada
canada appeared in 412 documents , Total Words(m) , Frequency (f)
Article #1 , 103 , 2
Article #2 , 81 , 1
Article #3 , 128 , 2
Article #7 , 102 , 2
Article #8 , 110 , 7
Article #10 , 111 , 5
Article #11 , 110 , 5
Article #12 , 107 , 2
Article #13 , 117 , 5
Article #14 , 125 , 6
Article #16 , 112 , 7
Article #17 , 66 , 5
Article #18 , 105 , 1
Article #19 , 104 , 2
Article #22 , 106 , 3
Article #23 , 111 , 1
Article #24 , 121 , 2
Article #25 , 114 , 3
Article #26 , 108 , 4
Article #27 , 114 , 5
Article #28 , 97 , 2
Article #29 , 113 , 4
Article #30 , 105 , 2
Article #31 , 60 , 2
Article #32 , 109 , 5
Article #33 , 108 , 2
Article #34 , 90 , 3
Article #35 , 105 , 3
Article #36 , 85 , 5
Article #37 , 105 , 3
Article #38 , 83 , 2
Article #39 , 64 , 3
Article #42 , 94 , 2
Article #43 , 114 , 1
Article #44 , 114 , 1
Article #45 , 112 , 3
Article #46 , 111 , 3
Article #47 , 106 , 1
Article #48 , 101 , 4
Article #49 , 119 , 2
Article #51 , 71 , 2
Article #52 , 115 , 2
Article #53 , 109 , 4
Article #54 , 110 , 3
Article #55 , 105 , 3
Article #56 , 110 , 4
Article #57 , 114 , 3
Article #58 , 114 , 1
Article #59 , 107 , 4
Article #60 , 106 , 2
Article #61 , 109 , 4
Article #62 , 91 , 2
Article #63 , 107 , 4
Article #64 , 120 , 2
Article #65 , 107 , 1
Article #66 , 111 , 3
Article #67 , 109 , 4
Article #68 , 104 , 2
Article #69 , 101 , 2
Article #70 , 66 , 2
Article #71 , 114 , 2
Article #72 , 114 , 3
Article #73 , 100 , 3
Article #74 , 89 , 1
Article #75 , 118 , 3
Article #77 , 99 , 2
Article #78 , 108 , 4
Article #79 , 102 , 2
Article #80 , 98 , 2
Article #81 , 93 , 2
Article #82 , 105 , 1
Article #83 , 111 , 3
Article #85 , 115 , 2
Article #86 , 102 , 2
Article #87 , 104 , 3
Article #88 , 101 , 1
Article #89 , 103 , 2
Article #90 , 106 , 2
Article #91 , 104 , 2
Article #92 , 112 , 3
Article #93 , 112 , 3
Article #94 , 115 , 2
Article #95 , 117 , 3
Article #96 , 101 , 3
Article #97 , 106 , 3
Article #98 , 112 , 2
Article #99 , 111 , 2
Article #100 , 116 , 2
Article #101 , 101 , 1
Article #109 , 107 , 1
Article #115 , 109 , 2
Article #124 , 102 , 1
Article #141 , 102 , 2
Article #150 , 95 , 2
Article #157 , 89 , 2
Article #166 , 109 , 3
Article #178 , 73 , 2
Article #190 , 95 , 1
Article #192 , 88 , 2
Article #237 , 99 , 2
Article #244 , 101 , 3
Article #245 , 106 , 1
Article #303 , 102 , 2
Article #308 , 112 , 2
Article #323 , 101 , 2
Article #324 , 93 , 3
Article #328 , 101 , 1
Article #332 , 89 , 2
Article #333 , 80 , 3
Article #336 , 99 , 3
Article #339 , 102 , 2
Article #343 , 94 , 2
Article #347 , 93 , 1
Article #350 , 95 , 3
Article #351 , 100 , 1
Article #355 , 103 , 1
Article #363 , 97 , 2
Article #365 , 96 , 1
Article #367 , 104 , 2
Article #370 , 104 , 2
Article #378 , 110 , 3
Article #395 , 107 , 4
Article #398 , 114 , 1
Article #400 , 111 , 1
Article #401 , 100 , 3
