TWEET # , MESSAGE , MATCH , POLARITY
1, patrici07994754 immigration refugee and irregular border migrant increases without funding for increased demand on healthcare education social services already strained  will only make things worse for all citizens in canada , irregular | strained | worse | , Negative 
2, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
3, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
4, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
5, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
6, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
7, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
8, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
9, cpeck3 an excellent analysis of the tactics used by provincial governments in canada to destabilize public education sosalberta tha , excellent, Positive 
10, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
11, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
12, realjameswoods i too am disappointed in the way they are handling their lives  being royal opens doors harry will never be king but his father will  the worst thing that could happen is bringing their baby to the united states better education in the uk they will not stay in canada , disappointed | worst | better | , Negative 
13, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
14, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
15, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
16, your language is your vision into both the past and the future remember and never forget signing of peace and friendship treaty staged to educate people  cbc news  , peace, Positive 
17, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free , reconciliation | free | , Positive 
18, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
19, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
20, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
