Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
Total Documents , 1386
Search Query , Document containing term (df) , Total Documents(N)/ number of documents term appeared (df) , Log10(N/df)
canada , 412 , 3.36 , 0.53
university , 224 , 6.19 , 0.79
dalhousie university , 22 , 63.0 , 1.8
halifax , 116 , 11.95 , 1.08
business , 112 , 12.38 , 1.09
